iteration,query,time(s)
1,Query 1,2.391686 
1,Query 2,0.083778 
1,Query 3,0.598944 
1,Query 4,0.144050 
1,Query 5,0.646066 
1,Query 6,0.343897 
1,Query 7,0.997454 
1,Query 8,1.632298 
1,Query 9,3.788506 
1,Query 10,0.449132 
1,Query 11,0.191255 
1,Query 12,0.375288 
1,Query 13,3.148503 
1,Query 14,0.425218 
1,Query 15,0.812122 
1,Query 16,0.116935 
1,Query 17,381.931169 
1,Query 18,0.423943 
1,Query 19,0.497733 
1,Query 20,601.351186 
1,Query 21,2.240868 
1,Query 22,99.915201 
2,Query 1,2.442794 
2,Query 2,0.087346 
2,Query 3,0.636717 
2,Query 4,0.156262 
2,Query 5,0.699096 
2,Query 6,0.361432 
2,Query 7,1.078567 
2,Query 8,1.826186 
2,Query 9,4.182783 
2,Query 10,0.478328 
2,Query 11,0.198495 
2,Query 12,0.404619 
2,Query 13,3.403359 
2,Query 14,0.457299 
2,Query 15,0.857675 
2,Query 16,0.119608 
2,Query 17,417.088285 
2,Query 18,0.446413 
2,Query 19,0.531932 
2,Query 20,602.969140 
2,Query 21,2.224313 
2,Query 22,99.807672 
3,Query 1,2.426877 
3,Query 2,0.087083 
3,Query 3,0.648018 
3,Query 4,0.161508 
3,Query 5,0.710166 
3,Query 6,0.364111 
3,Query 7,1.081869 
3,Query 8,1.825389 
3,Query 9,4.173905 
3,Query 10,0.481970 
3,Query 11,0.196446 
3,Query 12,0.394218 
3,Query 13,3.340154 
3,Query 14,0.449955 
3,Query 15,0.847632 
3,Query 16,0.119145 
3,Query 17,419.471062 
3,Query 18,0.446926 
3,Query 19,0.533187 
3,Query 20,604.256586 
3,Query 21,2.255159 
3,Query 22,101.746887 
4,Query 1,2.605162 
4,Query 2,0.088653 
4,Query 3,0.646184 
4,Query 4,0.159712 
4,Query 5,0.707701 
4,Query 6,0.367402 
4,Query 7,1.087122 
4,Query 8,1.846526 
4,Query 9,4.223326 
4,Query 10,0.484388 
4,Query 11,0.197531 
4,Query 12,0.398200 
4,Query 13,3.471904 
4,Query 14,0.560961 
4,Query 15,0.926674 
4,Query 16,0.118428 
4,Query 17,410.991276 
4,Query 18,0.442467 
4,Query 19,0.527661 
4,Query 20,595.539896 
4,Query 21,2.230462 
4,Query 22,99.657790 
5,Query 1,2.436158 
5,Query 2,0.087872 
5,Query 3,0.640390 
5,Query 4,0.154832 
5,Query 5,0.708254 
5,Query 6,0.365589 
5,Query 7,1.080537 
5,Query 8,1.831815 
5,Query 9,4.183209 
5,Query 10,0.480745 
5,Query 11,0.196251 
5,Query 12,0.393039 
5,Query 13,3.345033 
5,Query 14,0.448792 
5,Query 15,0.847741 
5,Query 16,0.118750 
5,Query 17,412.540234 
5,Query 18,0.447359 
5,Query 19,0.534409 
5,Query 20,603.606189 
5,Query 21,2.226064 
5,Query 22,101.355312 
6,Query 1,2.433972 
6,Query 2,0.088367 
6,Query 3,0.637107 
6,Query 4,0.156594 
6,Query 5,0.704843 
6,Query 6,0.367050 
6,Query 7,1.083256 
6,Query 8,1.832435 
6,Query 9,4.182360 
6,Query 10,0.483650 
6,Query 11,0.197796 
6,Query 12,0.399010 
6,Query 13,3.347252 
6,Query 14,0.454625 
6,Query 15,0.855824 
6,Query 16,0.118291 
6,Query 17,415.378461 
6,Query 18,0.448442 
6,Query 19,0.533376 
6,Query 20,604.241582 
6,Query 21,2.322061 
6,Query 22,102.053737 
7,Query 1,2.467293 
7,Query 2,0.089464 
7,Query 3,0.660932 
7,Query 4,0.159104 
7,Query 5,0.731336 
7,Query 6,0.379282 
7,Query 7,1.119043 
7,Query 8,1.905927 
7,Query 9,4.426821 
7,Query 10,0.500334 
7,Query 11,0.205602 
7,Query 12,0.410327 
7,Query 13,3.496042 
7,Query 14,0.467071 
7,Query 15,0.885900 
7,Query 16,0.123544 
7,Query 17,428.161055 
7,Query 18,0.445555 
7,Query 19,0.533129 
7,Query 20,609.497173 
7,Query 21,2.285363 
7,Query 22,100.928978 
8,Query 1,2.427786 
8,Query 2,0.088231 
8,Query 3,0.637137 
8,Query 4,0.156447 
8,Query 5,0.705517 
8,Query 6,0.363837 
8,Query 7,1.087156 
8,Query 8,1.845181 
8,Query 9,4.232850 
8,Query 10,0.482347 
8,Query 11,0.197502 
8,Query 12,0.397912 
8,Query 13,3.373160 
8,Query 14,0.453205 
8,Query 15,0.855179 
8,Query 16,0.119186 
8,Query 17,416.119099 
8,Query 18,0.448835 
8,Query 19,0.535281 
8,Query 20,611.107509 
8,Query 21,2.230525 
8,Query 22,102.088054 
9,Query 1,2.440760 
9,Query 2,0.087661 
9,Query 3,0.643548 
9,Query 4,0.157594 
9,Query 5,0.721041 
9,Query 6,0.364632 
9,Query 7,1.101283 
9,Query 8,1.884494 
9,Query 9,4.413669 
9,Query 10,0.489998 
9,Query 11,0.199246 
9,Query 12,0.399891 
9,Query 13,3.388393 
9,Query 14,0.457089 
9,Query 15,0.860995 
9,Query 16,0.118821 
9,Query 17,416.058913 
9,Query 18,0.442926 
9,Query 19,0.529250 
9,Query 20,615.207438 
9,Query 21,2.224433 
9,Query 22,102.033924 
10,Query 1,2.440584 
10,Query 2,0.088452 
10,Query 3,0.642828 
10,Query 4,0.157655 
10,Query 5,0.712061 
10,Query 6,0.369626 
10,Query 7,1.094062 
10,Query 8,1.864540 
10,Query 9,4.271624 
10,Query 10,0.487002 
10,Query 11,0.196726 
10,Query 12,0.398503 
10,Query 13,3.408046 
10,Query 14,0.457302 
10,Query 15,0.861319 
10,Query 16,0.118469 
10,Query 17,432.398090 
10,Query 18,0.473623 
10,Query 19,0.567743 
10,Query 20,638.853390 
10,Query 21,2.366981 
10,Query 22,107.473150 
11,Query 1,2.591243 
11,Query 2,0.093012 
11,Query 3,0.684600 
11,Query 4,0.166252 
11,Query 5,0.769092 
11,Query 6,0.389389 
11,Query 7,1.181804 
11,Query 8,2.040710 
11,Query 9,4.709129 
11,Query 10,0.515829 
11,Query 11,0.210931 
11,Query 12,0.422451 
11,Query 13,3.675918 
11,Query 14,0.485299 
11,Query 15,0.918352 
11,Query 16,0.126271 
11,Query 17,440.171260 
11,Query 18,0.474565 
11,Query 19,0.569068 
11,Query 20,620.673699 
11,Query 21,2.229547 
11,Query 22,100.415473 
12,Query 1,2.426303 
12,Query 2,0.087722 
12,Query 3,0.633411 
12,Query 4,0.155924 
12,Query 5,0.705551 
12,Query 6,0.364929 
12,Query 7,1.084180 
12,Query 8,1.843195 
12,Query 9,4.232491 
12,Query 10,0.480816 
12,Query 11,0.196504 
12,Query 12,0.394572 
12,Query 13,3.384230 
12,Query 14,0.452651 
12,Query 15,0.855932 
12,Query 16,0.118055 
12,Query 17,411.636716 
12,Query 18,0.443403 
12,Query 19,0.528412 
12,Query 20,600.874229 
12,Query 21,2.223267 
12,Query 22,100.274471 
13,Query 1,2.427001 
13,Query 2,0.087853 
13,Query 3,0.639110 
13,Query 4,0.155664 
13,Query 5,0.711745 
13,Query 6,0.362162 
13,Query 7,1.080558 
13,Query 8,1.843120 
13,Query 9,4.216307 
13,Query 10,0.480876 
13,Query 11,0.196873 
13,Query 12,0.394017 
13,Query 13,3.345390 
13,Query 14,0.451591 
13,Query 15,0.854012 
13,Query 16,0.118697 
13,Query 17,412.218686 
13,Query 18,0.443828 
13,Query 19,0.532512 
13,Query 20,598.500328 
13,Query 21,2.236482 
13,Query 22,100.261545 
14,Query 1,2.427358 
14,Query 2,0.087823 
14,Query 3,0.635172 
14,Query 4,0.155874 
14,Query 5,0.702938 
14,Query 6,0.363130 
14,Query 7,1.081428 
14,Query 8,1.836554 
14,Query 9,4.221346 
14,Query 10,0.480798 
14,Query 11,0.197604 
14,Query 12,0.394204 
14,Query 13,3.389374 
14,Query 14,0.452454 
14,Query 15,0.851630 
14,Query 16,0.117932 
14,Query 17,411.634744 
14,Query 18,0.446316 
14,Query 19,0.528930 
14,Query 20,601.831547 
14,Query 21,2.233277 
14,Query 22,100.394623 
15,Query 1,2.429292 
15,Query 2,0.087008 
15,Query 3,0.639901 
15,Query 4,0.156015 
15,Query 5,0.714676 
15,Query 6,0.362934 
15,Query 7,1.080522 
15,Query 8,1.845694 
15,Query 9,4.223370 
15,Query 10,0.483254 
15,Query 11,0.196824 
15,Query 12,0.397913 
15,Query 13,3.412720 
15,Query 14,0.462063 
15,Query 15,0.857999 
15,Query 16,0.119132 
15,Query 17,416.260310 
15,Query 18,0.447076 
15,Query 19,0.531771 
15,Query 20,598.066480 
15,Query 21,2.226884 
15,Query 22,100.172033 