iteration,time(s)
1,2.869
2,2.799
3,2.770
4,2.706
5,2.759
6,2.775
7,2.839
8,3.058
9,2.838
10,2.800
11,2.825
12,2.971
13,2.742
14,2.718
15,2.850
16,2.791
17,2.770
18,2.775
19,2.814
20,2.750
21,2.821
22,2.815
23,2.766
24,2.883
25,2.815
26,2.862
27,2.783
28,2.794
29,2.747
30,2.786
31,3.094
32,2.790
33,2.787
34,2.806
35,2.683
36,2.794
37,2.799
38,2.822
39,2.807
40,2.779
41,2.762
42,2.774
43,3.232
44,2.826
45,2.755
46,2.830
47,2.694
48,2.739
49,2.775
50,2.846
51,2.791
52,2.770
53,2.758
54,2.762
55,2.975
56,2.847
57,2.790
58,2.802
59,2.699
60,2.758
61,2.763
62,2.843
63,2.818
64,2.803
65,2.798
66,2.854
67,2.791
68,2.846
69,2.818
70,2.756